誤（好ましくない）	正（好ましい）	読み	備考
～のあいだ	～の間	あいだ	
アイディア	アイデア	あいであ	どちらでも間違いではないが、特に理由がなければこのように
～し合う	～しあう	あう	
あえて	敢えて	あえて	
上がる、上げる	上がる、上げる	あがる	
あきらか	明らか	あきらか	
あげる	挙げる	あげる	
～に当たって	～にあたって	あたって	
あたりまえ	当たり前	あたりまえ	
あと・のち	後	あと	「あともうひとつ」のような場合は開く
余り	あまり	あまり	「それほど～ない」という意味の場合は開く
表わす	表す	あらわす	
現われ	現れ	あらわれ	
あり得る	ありうる	ありうる	共同通信記者ハンドブックでは「あり得る」
～と言う事	～ということ	いう	
～して行く	いく	いく	
幾つ	いくつ	いくつ	
～に至るまで	～にいたるまで	いたる	
位置づけ	位置付け	いちづけ	
1度	一度	いちど	「いったん」に置き換え可能な場合は「一度」とする。また「もう一度」「一度だけ」はママ。
1例として	一例として	いちれい	
1種の	一種の	いっしゅ	
いっしょに	一緒に	いっしょ	
一層	いっそう	いっそう	
一体	いったい	いったい	
1対1	一対一	いったいいち	
一旦	いったん	いったん	
いとう	厭う	いとう	
要らない	いらない	いらない	
いれかえ	入れ換え、入れ替え	いれかえ	交換は換、交替は替
色々	いろいろ	いろいろ	
言わば	いわば	いわば	
インターフェース	インタフェース	いんたふぇーす	
インタープリタ	インタプリタ	いんたぷりた	
インターレース	インタレース	いんたれーす	
ウインドウ	ウィンドウ	うぃんどう	
ウィンドウマネジャ	ウィンドウマネージャ	うぃんどうまねーじゃ	
～するうえで	～する上で	うえ	
～ウエア	～ウェア	うぇあ	
受けとる	受け取る	うけとる	
歌をうたう	歌を歌う	うたう	
効能をうたう	効能を謳う	うたう	
埋めこみ	埋め込み	うめこみ	
ftp	FTP	えふてーぴー	コマンドはftp、プロトコルはFTP
エントリー	エントリ	えんとり	
オーバーライド	オーバライド	おーばらいど	
行なう	行う	おこなう	
成功をおさめる	成功を収める	おさめる	「収める」、「納める」、「治める」、「修める」は意味によって使い分ける
恐らく	おそらく	おそらく	
おちいる	陥る	おちいる	
おのずと	自ずと	おのずと	
おもしろい	面白い	おもしろい	
終る	終わる	おわる	
～にも関わらず	～にもかかわらず	かかわらず	
書込み	書き込み	かきこみ	
かこむ	囲む	かこむ	
かならず	必ず	かならず	
かまわない	構わない	かまわない	
かわりに	代わりに	かわり	
がんばる	頑張る	がんばる	
気がつく	気が付く	きがつく	
融通がきく	融通が利く	きく	文脈に応じて使い分ける（きく・効く・利く）
擬似	疑似	ぎじ	
気づく	気付く	きづく	
義務づける	義務付ける	ぎむづける	
極めて	きわめて	きわめて	
括る	くくる	くくる	
下さい	ください	ください	
組合せ	組み合わせ	くみあわせ	
くらべる	比べる	くらべる	
けっして	決して	けっして	
境界をこえる	境界を越える	こえる	
限度をこえる	限度を超える	こえる	
心がけ	心掛け	こころがけ	
GhostScript	Ghostscript	ごーすとすくりぷと	
ご存知	ご存じ	ごぞんじ	
～という事	～ということ	こと	
～毎	～ごと	ごと	
異る	異なる	ことなる	
頃	ころ	ころ	
こんど	今度	こんど	
コンピューター	コンピュータ	こんぴゅーた	
サーバー	サーバ	さーば	
さきほど	先程	さきほど	
様々	さまざま	さまざま	
更に	さらに	さらに	
～し得る	～しえる、しうる	しうる	
しかけ	仕掛け	しかけ	
しくみ	仕組み	しくみ	
したがう	従う	したがう	
従って	したがって	したがって	「よって」と言い換えられる場合は開く
～しなおす	～し直す	しなおす	
シフトJIS	Shift-JIS	しふとじす	IANAに準拠する場合はShift_JIS
ずいぶん	随分	ずいぶん	
多過ぎる	多すぎる	すぎる	記者ハンドブックでは「～過ぎる」「～にすぎない」
少い	少ない	すくない	
すくなくとも	少なくとも	すくなくとも	
薦める	勧める	すすめる	文脈によって使い分ける必要あり（勧・薦・奨・すす）
スタンドアローン	スタンドアロン	すたんどあろん	
すでに	既に	すでに	
すばやい	素早い	すばやい	
全て・総て・凡て	すべて	すべて	
すむ	済む	すむ	
損う	損なう	そこなう	「損なう」「損ねる」が正しい
その都度	そのつど	そのつど	
揃う	そろう	そろう	
ダイヤル	ダイアル	だいある	MS用語など、「ダイヤル」と表記が統一されているものはそれに従う
たいがい	大概	たいがい	
大した	たいした	たいした	
大して	たいして	たいして	
だいたい	大体	だいたい	
たいてい	大抵	たいてい	
たしかに	確かに	たしかに	
多態	多相	たそう	polymorphicはOOの文脈では多態、関数の文脈では多相
但し	ただし	ただし	
ただちに	直ちに	ただちに	
例え	たとえ	たとえ	「たとえ～しても」のような場合は開く
たとえば	例えば	たとえば	
辿る	たどる	たどる	
たぶん	多分	たぶん	
だめ	駄目	だめ	
だれでも	誰でも	だれ	
ついている	付いている	ついている	
使い物	使いもの	つかいもの	
掴む	つかむ	つかむ	
つける	付ける	つける	
～し続ける	～しつづける	つづける	
繋ぐ	つなぐ	つなぐ	
つねに	常に	つねに	
データー	データ	でーた	
出来のよい	でき（のよい）	でき	
できあがる	出来上がる	できあがる	
TELNET	Telnet	てるねっと	コマンドはtelnet、プロトコルはTelnet
～と言う	～という	という	発声がともなわない場合は開く
どうし	同士	どうし	
～の通り	～のとおり	とおり	「n通り」など、順列組み合わせを意味する場合は漢字
予定通り	予定どおり	とおり	
～する時	～するとき	とき	
時	とき	とき	場合を表す場合は開く（「～の場合は、～の際は」と書き換えられる場合は開く）
とき	時	とき	時間やタイミングを表す場合は漢字
ときどき	時々	ときどき	
ときには	ときには	ときには	
特徴	特長	とくちょう	長所は特長、他と異なる部分は特徴
とくに	特に	とくに	
～に留める	～にとどめる	とどめる	
異議を唱える	異議をとなえる	となえる	
とめる	止める	とめる	
とらえる	捉える	とらえる	
とりあげる	取り上げる	とりあげる	
とる	取る	とる	ただし「（値を）とる」はママでもよい。
中でも	なかでも	なか	内部・外部を意味する（inside）場合は漢字。包含を意味する（among）場合は開く
なかば	半ば	なかば	
なかほど	中程	なかほど	
無し	なし	なし	
なにも	何も	なに	
なんらか	何らか	なんらか	
似かよっている	似通っている	にかよって	
2者択一	二者択一	にしゃたくいつ	
2重	二重	にじゅう	
ニューズ	ニュース	にゅーず	NetNewsはニューズ、TVや新聞の報道はニュース
ねらう	狙う	ねらう	動作を伴なうものは漢字
のちほど	後程	のちほど	
はぐくむ	育む	はぐくむ	
～はじめる	～始める	はじめる	
筈	はず	はず	
話相手	話し相手	はなしあいて	
放す	離す	はなす	ボタンは離し、動物は放す
早目	早め	はやめ	～め
広さ優先探索	幅優先探索	はばゆうせんたんさく	breadth first searchは幅優先探索
パラメーター	パラメータ	ぱらめーた	
惹かれる	ひかれる	ひかれる	
1つの	ひとつの	ひとつ	単一を意味するときは開き、数量を意味するときは算用数字
1人	一人	ひとり	ただし人数が問題になるときは算用数字
1人1人	一人ひとり	ひとりひとり	
ビューアー	ビューア	びゅーあ	
フィルター	フィルタ	ふぃるた	
プリンター	プリンタ	ぷりんた	
振舞い	振る舞い	ふるまい	
プロキシ	プロクシ	ぷろくし	
プログラマー	プログラマ	ぷろぐらま	
ベジェ	ベジエ	べじえ	Bezier
ヘッダー	ヘッダ	へっだ	
べつに	別に	べつに	
～する方	ほう	ほう	
ほか	他	ほか	
～して欲しい	～してほしい	ほしい	
Postscript	PostScript	ぽすとすくりぷと	
ほんとう	本当	ほんとう	
まったく	全く	まったく	
稀	まれ	まれ	
見いだす	見出す	みいだす	
みえる	見える	みえる	
見掛け	見かけ	みかけ	
みかける	見かける	みかける	
みせかけ	見せかけ	みせかけ	
見付ける	見つける	みつける	
見なす	みなす	みなす	
見映え	見栄え	みばえ	どちらでもよい
～をめぐる争い	～を巡る争い	めぐる	
メタファー	メタファ	めたふぁ	
滅多に	めったに	めった	
メモリー	メモリ	めもり	
もっとも	最も	もっとも	
尤も	もっとも	もっとも	
元々	もともと	もともと	
物	もの	もの	
洩れる	漏れる	もれる	文脈により使い分ける
役割り	役割	やくわり	
分かり易い	分かりやすい	やすい	
やっかい	厄介	やっかい	
やり取り	やりとり	やりとり	
やりなおす	やり直す	やりなおす	
ユーザー	ユーザ	ゆーざ	
usenet	USENET	ゆーすねっと	URL、表示項目は除く
ゆだねる	委ねる	ゆだねる	
UNIX	Unix	ゆにっくす	正しくは「UNIX」だが、大文字が続くと読みにくい場合も多いので、慣用的な表現である「Unix」としてもよいものとする
良い、良く	よい、よく	よい	好悪、善悪を意味する場合は漢字。許可・可能・頻度を意味する場合は開く
呼びだし	呼び出し	よびだし	
ライブラリー	ライブラリ	らいぶらり	
レイヤー	レイヤ	れいや	
連係	連携	れんけい	協力して動く場合
連携	連係	れんけい	同時に（連動して）動く場合
ワイヤフレーム	ワイアフレーム	わいあふれーむ	
わかる	分かる	わかる	
わけ	訳	わけ	記者ハンドブックは「言い訳」「～するわけには～ない」
僅か	わずか	わずか	
わたし	私	わたし	
～に渡る	～にわたる	わたる	文脈による。記者ハンドブックでは「～にわたる（亘る）」
わりと	割と	わりと	
